First Name,Last Name,Prediction
Kimberly,Myers,0
Samuel,Sandoval,0
Helen,Campbell,0
Samuel,Sandoval,0
Christie,Williamson,0
Christopher,Luna,0
Destiny,Lowe,0
Martin,Ford,0
Linda,Davis,0
Sharon,Smith,0
Thomas,Mathis,0
Christopher,Sheppard,0
Eddie,Mendez,0
Brianna,Foley,0
Maria,Roy,0
Michelle,Johnston,0
Richard,Vance,0
Dawn,Tucker,0
Linda,Park,0
Patricia,Rodriguez,0
Debra,Becker,0
Phillip,Robertson,0
Debra,Stark,0
Janet,Carpenter,0
Theresa,Powell,0
Gail,Weaver,0
Kristen,Hanson,0
Brandon,Pittman,0
Kristen,Allen,0
Allison,Ayala,0
Dwayne,Martinez,0
Robert,Ashley,0
Lauren,Butler,0
Scott,Martin,0
Amanda,Vance,0
Vicki,Mendoza,0
James,Reese,0
Angela,Hodges,0
Michael,Francis,0
Alan,Colon,0
Stephanie,Taylor,0
Margaret,Lam,0
Jessica,Perez,0
Becky,Mckinney,0
Ashley,Cruz,0
William,Skinner,0
John,Robertson,0
Jacob,Patel,0
Tabitha,Reyes,0
Eric,Preston,0
Andrew,Patterson,0
Mark,Wood,0
Jeffrey,Vargas,0
Linda,Gonzalez,0
Linda,Hurst,0
Toni,Gomez,0
Gregory,Wallace,0
Sabrina,Nolan,0
Stephanie,Middleton,0
Natasha,Mclaughlin,0
Crystal,Fuller,0
Eric,Preston,0
William,Thompson,0
Melissa,Krause,0
Brian,Hogan,0
Brandy,Quinn,0
Margaret,Mendez,0
Daniel,Melton,0
Diana,Jacobs,0
Brianna,Wilson,0
Scott,Edwards,0
Karen,Warren,0
Christopher,Sheppard,0
Amy,Abbott,0
Michelle,Russell,0
Amanda,Adams,0
Amanda,Gomez,0
Jose,Vasquez,0
Connie,Carroll,0
Margaret,Ray,0
Jose,Vasquez,0
Judith,Moss,0
Michelle,Woods,0
Larry,Vaughan,0
Kathryn,Smith,0
Craig,Franco,0
Jeffrey,Powers,0
Kenneth,Edwards,0
Anna,Logan,0
Jeff,Elliott,0
John,Hudson,0
John,Robertson,0
David,Lewis,0
Jim,Johnson,0
Nicholas,Thornton,0
Denise,Barnett,0
Jeremy,Perry,0
James,Baldwin,0
Megan,Bernard,0
Chris,White,0
Wayne,Payne,0
Crystal,Gamble,0
Adam,Riddle,0
Christopher,Matthews,0
Michelle,Woods,0
Audrey,Hickman,0
Kimberly,Myers,0
Sara,Ramirez,0
Jerry,Robinson,0
Antonio,Koch,0
Vanessa,Anderson,0
Kayla,Jones,0
Mark,Wood,0
Rebecca,Erickson,0
Kenneth,Edwards,0
Ruth,Fuller,0
Brittany,Guerra,0
Donna,Moreno,0
Jeffrey,Smith,0
Robert,Long,0
Kathleen,Thompson,0
Jennifer,Carrillo,0
William,Cannon,0
Rebecca,Erickson,0
Sabrina,Johnson,0
Debra,Becker,0
Christopher,Johnson,0
Melissa,Mcclure,0
Robert,James,0
Robert,Evans,1
Benjamin,Kim,0
Taylor,Khan,0
Jeffrey,Powers,0
Stanley,Mayo,0
Juan,Henry,0
Patrick,Vaughan,0
Edward,Tapia,0
Mary,Juarez,0
Christian,Roman,0
Robert,Ashley,0
Dustin,Roberts,0
Jennifer,Bishop,0
Nathan,Massey,0
Gary,Hall,0
Samuel,Johnston,0
Stephanie,Gill,0
Robert,Sanchez,0
Adam,Keller,0
Aaron,Murray,0
Robert,Ashley,0
Susan,Garcia,0
Robert,Haynes,0
Pamela,Curtis,0
Valerie,Davis,0
David,Miller,0
Maria,Roy,0
Dwayne,Martinez,0
Meredith,Campbell,0
Kenneth,Robinson,0
Kayla,Jones,0
Toni,Gomez,0
Scott,Fuller,0
Amanda,Smith,0
Meredith,Ayala,0
Charles,Robles,0
Amanda,Jones,0
Michael,Johnson,0
Crystal,Fuller,0
Patrick,Torres,0
Monica,Lane,0
Brian,Williams,0
Olivia,Stephenson,0
Robert,Williams,0
Theresa,Powell,0
Kathleen,Nash,0
Allison,Allen,0
Kelsey,Richards,0
Jennifer,Banks,0
Benjamin,Kim,0
Alicia,Bishop,0
Tiffany,Stephens,0
Ana,Howell,0
Larry,Williams,0
Sabrina,Johnson,0
Teresa,Clark,0
Shelby,Cannon,0
Gerald,Anthony,0
Crystal,Fuller,0
Tommy,Dixon,0
Christopher,Grimes,0
Samuel,Sandoval,0
Carol,Dillon,0
Joe,Howard,0
Robert,Sanchez,0
Robert,Sanchez,0
Barbara,Lowe,0
Juan,Sherman,0
Shelby,Mitchell,0
Robert,Williams,0
Rachel,Daniels,0
Bobby,Smith,0
William,Johnson,0
Melissa,Krause,0
Lisa,Collins,0
Maria,Garcia,0
Danielle,Evans,0
William,Fitzgerald,0
Charles,Preston,0
Mary,Juarez,0
Jeffrey,Lewis,0
Mackenzie,Smith,0
Jack,Hill,0
Michael,Jackson,0
Rachel,Lowe,0
Tammy,Ayers,0
Margaret,Williams,0
Jeffrey,Smith,0
Teresa,Blankenship,0
Craig,Dunn,0
Barbara,Lowe,0
Lisa,Lowe,0
Mary,Pruitt,0
Micheal,Hernandez,0
Amanda,Wheeler,0
Amanda,Williams,0
Sherry,Martinez,0
Christopher,Henry,0
Justin,Bell,0
Charles,Moreno,0
Sheila,Baker,0
Claire,Davis,0
James,Hunt,0
Judy,Hogan,0
Cristian,Jones,0
Lauren,Torres,0
James,Greene,0
Joshua,Mendoza,0
Ashley,Lopez,0
Jason,Hernandez,0
Kenneth,Edwards,0
Jacqueline,Prince,0
Scott,Fuller,0
Thomas,Jenkins,0
Lisa,Lopez,0
Jim,Johnson,0
Barbara,Lowe,0
Margaret,Mendez,0
Jeffrey,Munoz,0
Christine,Harris,0
William,Fitzgerald,0
Brent,Terrell,0
Vincent,Ward,0
Amanda,Fitzgerald,0
Juan,Sherman,0
Debra,Becker,0
Wayne,Payne,0
Robert,Goodman,0
Teresa,Clark,0
Tina,Alvarez,0
Lauren,Torres,0
Jamie,Robinson,0
Brian,Simpson,0
Claire,Davis,0
April,Johnson,0
John,Stevens,0
Terrance,Mckinney,0
Jacqueline,Curry,0
Sophia,Dickson,0
Mike,Tran,0
Vicki,Mendoza,0
Margaret,Williams,0
Diane,Jackson,0
Vincent,Richards,0
Lori,Bishop,0
Andrea,Cruz,0
Zachary,Allen,0
Claire,Davis,0
Ryan,Johnson,0
Allison,Allen,0
Whitney,Gallagher,0
Matthew,Lambert,0
Christine,Leblanc,0
Maureen,Garza,0
Charles,Preston,0
Tara,Campbell,0
James,Stephens,0
Amber,Lewis,0
James,Baldwin,0
Dustin,Roberts,0
Kenneth,Edwards,0
Billy,Gallagher,0
Sarah,Clark,0
James,Stephens,0
Jodi,Rodriguez,0
Kathryn,Smith,0
Jodi,Rodriguez,0
Tina,Lawrence,0
Jackie,Davis,0
Samuel,Johnston,0
Lauren,Torres,0
Juan,Sherman,0
Warren,Daniels,0
Matthew,Lambert,0
Louis,Fisher,0
Charles,Carrillo,0
Candice,Brown,0
Joshua,Mendoza,0
Erika,Anderson,0
Ryan,Joseph,0
Cassandra,Nunez,0
Mary,Diaz,0
Jessica,Perez,0
Kurt,Peters,0
Dawn,Tucker,0
Donna,Davis,0
Randy,Murphy,0
Jeff,Elliott,0
Thomas,Cross,0
Micheal,Walters,0
Deborah,Fisher,0
Linda,Davis,0
Daniel,Graham,0
Alan,Colon,0
Lauren,Moreno,0
Gary,Martinez,0
Christine,Johnson,0
Janet,Carpenter,0
Christopher,Miller,0
Vincent,Ward,0
Dorothy,Zuniga,0
Amanda,Williams,0
Pamela,Curtis,0
Erica,Briggs,0
Vicki,Mendoza,0
Kimberly,Gonzalez,0
Katherine,Love,0
Donna,Moreno,0
Mark,Wood,0
Jim,Johnson,0
Sarah,Foster,0
Christine,Best,0
Cristian,Jones,0
Michael,Olson,0
Allen,Bell,0
Julie,Sanchez,0
Crystal,Gamble,0
Kristen,Hanson,0
Judy,Hogan,0
Stephanie,Cummings,0
Robert,Evans,0
Megan,Murphy,0
Jessica,Werner,0
David,Erickson,0
Beth,Lambert,0
Larry,Vaughan,0
Danielle,Evans,0
Susan,Shah,0
James,Baldwin,0
Christopher,Castaneda,0
William,Fitzgerald,0
Cody,Miller,0
Bianca,Scott,0
Alicia,Miller,0
Christopher,Horn,0
Melinda,Gutierrez,0
Crystal,Fuller,0
Barbara,Nelson,0
David,Rodriguez,0
Ana,Howell,0
Tyler,Mills,0
Terri,Bailey,0
Christopher,Rodgers,0
Dakota,Maldonado,0
Linda,Gonzalez,0
James,Stephens,0
Kendra,King,0
Amanda,Fitzgerald,0
Destiny,Lowe,0
Michael,Garner,0
Sherry,Martinez,0
Kristina,Stewart,0
Julie,Sanchez,0
Michael,Flores,0
Becky,Mckinney,0
Gina,Morrison,0
Karen,Ryan,0
Jack,Hill,0
Aaron,Murray,0
Kenneth,Foster,0
Jacqueline,Curry,0
Karen,Gordon,0
Denise,Barnett,0
Kenneth,Edwards,0
Michelle,Gregory,0
Allison,Allen,0
Aaron,Pena,0
Louis,Fisher,0
Jerry,Kelly,0
Susan,Hardy,0
Gina,Grimes,0
Leslie,Ford,0
James,Baldwin,0
Larry,Warner,0
Juan,Henry,0
Micheal,Walters,0
Donna,Moreno,0
Kaitlyn,Newman,0
Peter,Edwards,0
Amanda,Wheeler,0
Samuel,Jenkins,0
Gary,Hall,0
Erica,Briggs,0
Joanne,Williams,0
Samuel,Farrell,0
Tammy,Ayers,0
Xavier,Beltran,0
Marissa,Powell,0
Lisa,Hendrix,0
James,Reese,0
Joanne,Williams,0
Gina,Grimes,0
Renee,Parrish,0
Melissa,Mcclure,0
Crystal,Fuller,0
Stanley,Dickson,0
Andrew,Tucker,0
Rachel,Lowe,0
Mary,Pruitt,0
Susan,Hardy,0
Paula,Estrada,0
Julie,Johnson,0
Olivia,Stephenson,0
Carrie,Washington,0
Richard,Brown,0
Benjamin,Rogers,0
Louis,Fisher,0
Robert,Evans,0
Grace,Williams,0
Tamara,Martinez,0
Janet,Turner,0
Michael,Flores,0
Richard,Marshall,0
Jennifer,Banks,0
Jason,Singh,0
Connie,Carroll,0
Kevin,Elliott,0
Jessica,Jordan,0
Ashley,Lopez,0
Danielle,Evans,0
Michelle,Johnston,0
Brooke,Smith,0
Scott,Fuller,0
Angela,Taylor,0
Steven,Sanders,0
Melissa,Brown,0
Leah,Garner,0
